"UT","DI","AU","TI","PY","coder","sample_size_orig","sample_size_BA","sample_size_PhD","sample_size_final","matches_orig_BA","matches_orig_PhD","matches_BA_PhD","matches_all","irr_resolver","irr_resolver_comment"
"WOS:000397982600001","10.3389/fnhum.2017.00115","Yusa, N; Kim, J; Koizumi, M; Sugiura, M; Kawashima, R","Social Interaction Affects Neural Outcomes of Sign Language Learning As a Foreign Language in Adults",2017,"EH",46,46,46,46,1,1,1,1,"PI",""
"WOS:000402051400004","10.1037/emo0000258","Yu, HB; Cai, Q; Shen, B; Gao, XX; Zhou, XL","Neural Substrates and Social Consequences of Interpersonal Gratitude: Intention Matters",2017,"JvB",27,27,27,27,1,1,1,1,"PI",""
"WOS:000403676400023","10.1007/s11682-016-9561-2","Wagels, L; Bergs, R; Clemens, B; Bauchmuller, M; Gur, RC; Schneider, F; Habel, U; Kohn, N","Contextual exclusion processing: an fMRI study of rejection in a performance-related context",2017,"EJ",39,40,40,40,0,0,1,0,"PI","Not sure where original coder got n=39 from (perhaps t-test dfs). Dfs support n=40 and no subject was excluded due to head motion. "
"WOS:000404547000014","10.1093/scan/nsx004","Lopez, RB; Chen, PHA; Huckins, JF; Hofmann, W; Kelley, WM; Heatherton, TF","A balance of activity in brain control and reward systems predicts self-regulatory outcomes",2017,"TN",69,69,69,69,1,1,1,1,"PI",""
"WOS:000404548900004","10.1093/scan/nsw181","Reicherts, P; Wiemer, J; Gerdes, ABM; Schulz, SM; Pauli, P; Wieser, MJ","Anxious anticipation and pain: the influence of instructed vs conditioned threat on pain",2017,"RvB",45,45,45,45,1,1,1,1,"PI",""
"WOS:000404963900034","10.1002/hbm.23662","Yamawaki, R; Nakamura, K; Aso, T; Shigemune, Y; Fukuyama, H; Tsukiura, T","Remembering my friends: Medial prefrontal and hippocampal contributions to the self-reference effect on face memories in a social context",2017,"GM",19,19,19,19,1,1,1,1,"PI",""
"WOS:000405057600008","10.1016/j.intell.2017.06.001","Clark, CM; Lawlor-Savage, L; Goghari, VM","Comparing brain activations associated with working memory and fluid intelligence",2017,"JvB",63,63,63,63,1,1,1,1,"PI",""
"WOS:000405696600001","10.1093/scan/nsx037","Oosterwijk, S; Snoek, L; Rotteveel, M; Barrett, LF; Scholte, HS","Shared states: using MVPA to test neural overlap between self-focused emotion imagery and other-focused emotion understanding",2017,"EH",20,20,20,20,1,1,1,1,"PI",""
"WOS:000406296500004","10.1016/j.neurobiolaging.2017.05.005","Heinzel, S; Lorenz, RC; Duong, QL; Rapp, MA; Deserno, L","Prefrontal-parietal effective connectivity during working memory in older adults",2017,"RvB",50,50,50,50,1,1,1,1,"PI",""
"WOS:000406493300009","10.1162/jocn_a_01151","Thornton, MA; Mitchell, JP","Consistent Neural Activity Patterns Represent Personally Familiar People",2017,"EJ",23,23,23,23,1,1,1,1,"PI",""
"WOS:000409032200001","10.3389/fnbeh.2017.00155","Cacioppo, S; Juan, E; Monteleone, G","Predicting Intentions of a Familiar Significant Other Beyond the Mirror Neuron System",2017,"RvB",24,24,12,12,1,0,0,0,"PI","Only 12/24 participants underwent fMRI according to demographic table"
"WOS:000409381400033","10.1523/ENEURO.0337-16.2017","Buades-Rotger, M; Beyer, F; Kramer, UM","Avoidant Responses to Interpersonal Provocation Are Associated with Increased Amygdala and Decreased Mentalizing Network Activity",2017,"TN",36,36,36,36,1,1,1,1,"PI",""
"WOS:000410539800043","10.1016/j.neuroimage.2017.06.027","Vanderwal, T; Eilbott, J; Finn, ES; Craddock, RC; Turnbull, A; Castellanos, FX","Individual differences in functional connectivity during naturalistic viewing conditions",2017,"RvB",31,31,31,31,1,1,1,1,"PI",""
"WOS:000411168800011","10.1016/j.nlm.2017.07.004","Homan, P; Ely, BA; Yuan, M; Brosch, T; Ng, J; Trope, Y; Schiller, D","Aversive smell associations shape social judgment",2017,"TN",17,17,17,17,1,1,1,1,"PI",""
"WOS:000411571500008","10.3758/s13415-017-0529-5","Hou, X; Allen, TA; Wei, DT; Huang, H; Wang, KC; DeYoung, CG; Qiu, J","Trait compassion is associated with the neural substrate of empathy",2017,"RvB",275,275,275,275,1,1,1,1,"PI",""
"WOS:000413223700001","10.1186/s12868-017-0390-z","Repple, J; Pawliczek, CM; Voss, B; Siegel, S; Schneider, F; Kohn, N; Habel, U","From provocation to aggression: the neural network",2017,"RvB",29,29,29,29,1,1,1,1,"PI",""
"WOS:000414683400026","10.1002/hbm.23821","Tobia, MJ; Hayashi, K; Ballard, G; Gotlib, IH; Waugh, CE","Dynamic Functional Connectivity and Individual Differences in Emotions During Social Stress",2017,"TN",16,16,16,16,1,1,1,1,"PI",""
"WOS:000415969300004","10.1007/s11211-017-0295-0","Haas, IJ; Baker, MN; Gonzalez, FJ","Who Can Deviate from the Party Line? Political Ideology Moderates Evaluation of Incongruent Policy Positions in Insula and Anterior Cingulate Cortex",2017,"RvB",58,58,58,58,1,1,1,1,"PI",""
"WOS:000416436800009","10.1016/j.biopsycho.2017.07.023","Liddell, BJ; Felmingham, KL; Das, P; Whitford, TJ; Malhi, GS; Battaglini, E; Bryant, RA","Self-construal differences in neural responses to negative social cues",2017,"EH",35,35,41,35,1,0,0,0,"PI","n=42 initially reported. 1 participant excluded due to self-report data. 6 participants were excluded due to motion artifacts."
"WOS:000417002000005","10.1002/hbm.23692","Wang, J; Cherkassky, VL; Just, MA","Predicting the Brain Activation Pattern Associated With the Propositional Content of a Sentence: Modeling Neural Representations of Events and States",2017,"GM",7,7,7,7,1,1,1,1,"PI",""
"WOS:000417635900001","10.1016/j.neuroimage.2017.09.058","Kepinska, O; de Rover, M; Caspers, J; Schiller, NO","Connectivity of the hippocampus and Broca's area during acquisition of a novel grammar",2018,"EJ",40,40,40,40,1,1,1,1,"PI",""
"WOS:000418987100016","10.1016/j.cortex.2016.08.016","Fischmeister, FP; Martins, MJD; Beisteiner, R; Fitch, WT","Self-similarity and recursion as default modes in human cognition",2017,"EH",35,35,35,35,1,1,1,1,"PI",""
"WOS:000419578300002","10.1093/scan/nsx116","Liu, Y; Wu, B; Wang, XN; Li, WX; Zhang, T; Wu, XH; Han, SH","Oxytocin effects on self-referential processing: behavioral and neuroimaging evidence",2017,"EJ",52,52,52,52,1,1,1,1,"PI",""
"WOS:000419578600011","10.1093/scan/nsx119","Schobert, AK; Corradi-Dell'Acqua, C; Fruhholz, S; van der Zwaag, W; Vuilleumier, P","Functional organization of face processing in the human superior temporal sulcus: a 7T high-resolution fMRI study",2018,"EJ",16,16,16,16,1,1,1,1,"PI",""
"WOS:000419926100001","10.3389/fnhum.2017.00661","Shen, FT; Hu, Y; Fan, MX; Wang, HM; Wang, ZX","Racial Bias in Neural Response for Pain Is Modulated by Minimal Group",2018,"GM",29,29,29,29,1,1,1,1,"PI",""
"WOS:000422921800021","10.1016/j.dcn.2017.02.001","Lemmers-Jansen, ILJ; Krabbendam, L; Veltman, DJ; Fett, AKJ","Boys vs. girls: Gender differences in the neural development of trust and reciprocity depend on social context",2017,"EJ",43,43,43,43,1,1,1,1,"PI",""
"WOS:000423981700014","10.1093/cercor/bhw396","Domenech, P; Redoute, J; Koechlin, E; Dreher, JC","The Neuro-Computational Architecture of Value-Based Selection in the Human Brain",2018,"RvB",14,14,14,14,1,1,1,1,"PI",""
"WOS:000424804400027","10.1002/hbm.23930","Arioli, M; Perani, D; Cappa, S; Proverbio, AM; Zani, A; Falini, A; Canessa, N","Affective and cooperative social interactions modulate effective connectivity within and between the mirror and mentalizing systems",2018,"RvB",36,36,36,36,1,1,1,1,"PI",""
"WOS:000426190700001","10.3389/fnint.2018.00008","Santangelo, V","Large-Scale Brain Networks Supporting Divided Attention across Spatial Locations and Sensory Modalities",2018,"RvB",12,12,12,12,1,1,1,1,"PI",""
"WOS:000426430800009","10.14704/nq.2018.16.2.1092","Jung, YS; Kim, YT; Baeck, JS; Lee, J; Kim, JG; Chang, Y","The Neural Correlates of Celebrity Power on Product Favorableness: An fMRI Study",2018,"JvB",33,33,33,33,1,1,1,1,"PI",""
"WOS:000426620700013","10.1016/j.evolhumbehav.2018.01.004","Ohtsubo, Y; Matsunaga, M; Tanaka, H; Suzuki, K; Kobayashi, F; Shibata, E; Hori, R; Umemura, T; Ohira, H","Costly apologies communicate conciliatory intention: an fMRI study on forgiveness in response to costly apologies",2018,"EJ",37,37,37,37,1,1,1,1,"PI",""
"WOS:000427121700002","10.1038/s41467-018-03399-2","Richardson, H; Lisandrelli, G; Riobueno-Naylor, A; Saxe, R","Development of the social brain from age three to twelve years",2018,"TN",155,122,155,155,0,1,0,0,"PI","Coder BA seems to have coded only the non-adult segment of the total sample."
"WOS:000427411700001","10.3389/fnins.2018.00149","Sung, YW; Kawachi, Y; Choi, US; Kang, D; Abe, C; Otomo, Y; Ogawa, S","A Set of Functional Brain Networks for the Comprehensive Evaluation of Human Characteristics",2018,"TN",153,153,153,153,1,1,1,1,"PI",""
"WOS:000427643700003","10.1016/j.neuroimage.2017.12.076","Kruse, O; Leon, IT; Stalder, T; Stark, R; Klucken, T","Altered reward learning and hippocampal connectivity following psychosocial stress",2018,"EJ",56,56,56,56,1,1,1,1,"PI",""
"WOS:000429278800001","10.3389/fnbeh.2018.00060","Jacob, Y; Gilam, G; Lin, T; Raz, G; Hendler, T","Anger Modulates Influence Hierarchies Within and Between Emotional Reactivity and Regulation Networks",2018,"TN",74,74,74,74,1,1,1,1,"PI",""
"WOS:000429357800001","10.3389/fnbeh.2018.00066","Wallmark, Z; Deblieck, C; Iacoboni, M","Neurophysiological Effects of Trait Empathy in Music Listening",2018,"GM",20,20,20,20,1,1,1,1,"PI",""
"WOS:000431104900012","10.1038/s41598-018-24617-3","Ruissen, MI; Overgaauw, S; de Bruijn, ERA","Being right, but losing money: the role of striatum in joint decision making",2018,"JvB",19,19,19,19,1,1,1,1,"PI",""
"WOS:000432871200001","10.3389/fnhum.2018.00210","Lin, JB; Cui, X; Dai, XY; Mo, L","Regional Homogeneity Predicts Creative Insight: A Resting-State fMRI Study",2018,"GM",50,50,50,50,1,1,1,1,"PI",""
"WOS:000434384900066","10.1371/journal.pone.0198663","Spaans, JP; Burke, SM; Altikulac, S; Braams, BR; Op de Macks, ZA; Crone, EA","Win for your kin: Neural responses to personal and vicarious rewards when mothers win for their adolescent children",2018,"GM",20,20,20,20,1,1,1,1,"PI",""
"WOS:000434747600007","10.1016/j.psyneuen.2018.04.005","Radke, S; Seidel, EM; Boubela, RN; Thaler, H; Metzler, H; Kryspin-Exner, I; Moser, E; Habel, U; Derntl, B","Immediate and delayed neuroendocrine responses to social exclusion in males and females",2018,"TN",80,80,80,80,1,1,1,1,"PI",""
"WOS:000438325700010","10.1016/j.ijresmar.2017.12.004","De Vries, ELE; Fennis, BM; Bijmolt, THA; Ter Horst, GJ; Marsman, JBC","Friends with benefits: Behavioral and fMRI studies on the effect of friendship reminders on self-control for compulsive and non-compulsive buyers",2018,"JvB",40,40,40,40,1,1,1,1,"PI",""
"WOS:000439686700030","10.1038/s41598-018-29670-6","Hausler, AN; Kuhnen, CM; Rudorf, S; Weber, B","Preferences and beliefs about financial risk taking mediate the association between anterior insula activation and self-reported reallife stock trading",2018,"GM",165,157,165,165,0,1,0,0,"PI","n=157 for the main analyses. However, fMRI data exist for 165 subjects."
"WOS:000440353100003","10.3389/fnins.2018.00516","Zhang, PW; Qu, XJ; Qian, SF; Wang, XB; Wang, RD; Li, QY; Liu, SY; Chen, LH; Liu, DQ","Distinction Between Variability-Based Modulation and Mean-Based Activation Revealed by BOLD-fMRI and Eyes-Open/Eyes-Closed Contrast",2018,"JvB",36,34,34,34,0,0,1,0,"PI","n=36 participated, but from paper: two participants were excluded due to excessive head motion"
"WOS:000440377300001","10.3389/fnhum.2018.00302","Vaughn, DA; Savjani, RR; Cohen, MS; Eagleman, DM","Empathic Neural Responses Predict Group Allegiance",2018,"JvB",14,14,14,14,1,1,1,1,"PI",""
"WOS:000440966600003","10.1093/cercor/bhx148","Lin, N; Wang, XY; Xu, YW; Wang, XS; Hua, HM; Zhao, Y; Li, XS","Fine Subdivisions of the Semantic Network Supporting Social and Sensory-Motor Semantic Processing",2018,"EJ",19,19,19,19,1,1,1,1,"PI",""
"WOS:000441276600010","10.1002/hbm.24197","Di Plinio, S; Ferri, F; Marzetti, L; Romani, GL; Northoff, G; Pizzella, V","Functional connections between activated and deactivated brain regions mediate emotional interference during externally directed cognition",2018,"EJ",17,17,17,17,1,1,1,1,"PI",""
"WOS:000441662800005","10.1371/journal.pone.0201237","Butler, EE; Ward, R; Downing, PE; Ramsey, R","fMRI repetition suppression reveals no sensitivity to trait judgments from faces in face perception or theory-of-mind networks",2018,"JvB",28,28,28,28,1,1,1,1,"PI",""
"WOS:000442467700002","10.3758/s13415-018-0608-2","Wiese, E; Buzzell, GA; Abubshait, A; Beatty, PJ","Seeing minds in others: Mind perception modulates low-level social-cognitive performance and relates to ventromedial prefrontal structures",2018,"JvB",22,22,22,22,1,1,1,1,"PI",""
"WOS:000444321800001","10.3389/fnbeh.2018.00209","Guan, F; Xiang, YH; Chen, OT; Wang, WX; Chen, J","Neural Basis of Dispositional Awe",2018,"EJ",42,42,42,42,1,1,1,1,"PI",""
"WOS:000446054000002","10.1080/17470919.2018.1459313","Dien, J; Karuzis, V; Haarmann, HJ","Probing culture in the head: the neural correlates of relational models",2018,"GM",39,39,39,39,1,1,1,1,"PI",""
"WOS:000449432200023","10.1093/cercor/bhy208","Krishnan, S; Lima, CF; Evans, S; Chen, S; Guldner, S; Yeff, H; Manly, T; Scott, SK","Beatboxers and Guitarists Engage Sensorimotor Regions Selectively When Listening to the Instruments They can Play",2018,"EJ",59,60,60,60,0,0,1,0,"PI","n=60. 1 participant was excluded from a frequency discrimination task, but was still included in the fMRI data."
"WOS:000450543800051","10.1016/j.neuropsychologia.2018.09.011","Mineroff, Z; Blank, IA; Mahowald, K; Fedorenko, E","A robust dissociation among the language, multiple demand, and default mode networks: Evidence from inter-region correlations in effect size",2018,"EJ",60,60,60,60,1,1,1,1,"PI",""
"WOS:000451061700020","10.1007/s00429-018-1747-5","Takeuchi, H; Taki, Y; Nouchi, R; Yokoyama, R; Kotozaki, Y; Nakagawa, S; Sekiguchi, A; Iizuka, K; Hanawa, S; Araki, T; Miyauchi, CM; Sakaki, K; Sassa, Y; Nozawa, T; Ikeda, S; Yokota, S; Daniele, M; Kawashima, R","General intelligence is associated with working memory-related brain activity: new evidence from a large sample study",2018,"EJ",1235,1235,1235,1235,1,1,1,1,"PI",""
"WOS:000451282200003","10.1167/18.11.3","Seymour, KJ; Stein, T; Clifford, CWG; Sterzer, P","Cortical suppression in human primary visual cortex predicts individual differences in illusory tilt perception",2018,"EJ",9,10,10,10,0,0,1,0,"PI","Degrees of freedom confirm that n=10. It seems the original coder may have been confused by the verbal description of the jackknife analysis."
"WOS:000456663300005","10.1093/scan/nsy071","van Hoorn, J; McCormick, EM; Rogers, CR; Ivory, SL; Telzer, EH","Differential effects of parent and peer presence on neural correlates of risk taking in adolescence",2018,"TN",56,56,56,56,1,1,1,1,"PI",""
