UT,AU,TI,PY,DI,study_number,TC_2020,sample_size,RV_dist_location,RV,AB,SO
WOS:000291624100006,"Schippers, MB; Keysers, C",Mapping the flow of information within the putative mirror neuron system during gesture observation,2011,10.1016/j.neuroimage.2011.02.018,1,62,18,middle,0.344444444,"The putative mirror neuron system may either function as a strict feed-forward system or as a dynamic control system. A strict feed-forward system would predict that action observation leads to a predominantly temporal -> parietal -> premotor flow of information in which a visual representation is transformed into motor-programs which contribute to action understanding. Instead, a dynamic feedback control system would predict that the reverse direction of information flow predominates because of a combination of inhibitory forward and excitatory inverse models. Here we test which of these conflicting predictions best matches the information flow within the putative mirror neuron system (pMNS) and between the pMNS and the rest of the brain during the observation of comparatively long naturalistic stretches of communicative gestures. We used Granger causality to test the dominant direction of influence. Our results fit the predictions of the dynamic feedback control system: we found predominantly an information flow within the pMNS from premotor to parietal and middle temporal cortices. This is more pronounced during an active guessing task than while passively reviewing the same gestures. In particular, the ventral premotor cortex sends significantly more information to other pMNS areas than it receives during active guessing than during passive observation. (C) 2011 Elsevier Inc. All rights reserved.",NEUROIMAGE
WOS:000293950300027,"Wang, Y; Ramsey, R; Hamilton, AFD",The Control of Mimicry by Eye Contact Is Mediated by Medial Prefrontal Cortex,2011,10.1523/JNEUROSCI.0845-11.2011,1,89,20,middle,0.445,"Spontaneous mimicry of other people's actions serves an important social function, enhancing affiliation and social interaction. This mimicry can be subtly modulated by different social contexts. We recently found behavioral evidence that direct eye gaze rapidly and specifically enhances mimicry of intransitive hand movements (Wang et al., 2011). Based on past findings linking medial prefrontal cortex (mPFC) to both eye contact and the control of mimicry, we hypothesized that mPFC might be the neural origin of this behavioral effect. The present study aimed to test this hypothesis. During functional magnetic resonance imaging (fMRI) scanning, 20 human participants performed a simple mimicry or no-mimicry task, as previously described (Wang et al., 2011), with direct gaze present on half of the trials. As predicted, fMRI results showed that performing the task activated mirror systems, while direct gaze and inhibition of the natural tendency to mimic both engaged mPFC. Critically, we found an interaction between mimicry and eye contact in mPFC, superior temporal sulcus (STS) and inferior frontal gyrus. We then used dynamic causal modeling to contrast 12 possible models of information processing in this network. Results supported a model in which eye contact controls mimicry by modulating the connection strength from mPFC to STS. This suggests that mPFC is the originator of the gaze-mimicry interaction and that it modulates sensory input to the mirror system. Thus, our results demonstrate how different components of the social brain work together to on-line control mimicry according to the social context.",JOURNAL OF NEUROSCIENCE
WOS:000327449000023,"Bruffaerts, R; Dupont, P; Peeters, R; De Deyne, S; Storms, G; Vandenberghe, R",Similarity of fMRI Activity Patterns in Left Perirhinal Cortex Reflects Semantic Similarity between Words,2013,10.1523/JNEUROSCI.1548-13.2013,1,57,19,middle,0.375,"Howverbal and nonverbal visuoperceptual input connects to semantic knowledge is a core question in visual and cognitive neuroscience, with significant clinical ramifications. In an event-related functional magnetic resonance imaging (fMRI) experiment we determined how cosine similarity between fMRI response patterns to concrete words and pictures reflects semantic clustering and semantic distances between the represented entities within a single category. Semantic clustering and semantic distances between 24 animate entities were derived from a concept-feature matrix based on feature generation by >1000 subjects. In the main fMRI study, 19 human subjects performed a property verification task with written words and pictures and a low-level control task. The univariate contrast between the semantic and the control task yielded extensive bilateral occipitotemporal activation from posterior cingulate to anteromedial temporal cortex. Entities belonging to a same semantic cluster elicited more similar fMRI activity patterns in left occipitotemporal cortex. When words and pictures were analyzed separately, the effect reached significance only for words. The semantic similarity effect for words was localized to left perirhinal cortex. According to a representational similarity analysis of left perirhinal responses, semantic distances between entities correlated inversely with cosine similarities between fMRI response patterns to written words. An independent replication study in 16 novel subjects confirmed these novel findings. Semantic similarity is reflected by similarity of functional topography at a fine-grained level in left perirhinal cortex. The word specificity excludes perceptually driven confounds as an explanation and is likely to be task dependent.",JOURNAL OF NEUROSCIENCE
WOS:000321163700006,"Klimecki, OM; Leiberg, S; Lamm, C; Singer, T",Functional Neural Plasticity and Associated Changes in Positive Affect After Compassion Training,2013,10.1093/cercor/bhs142,2,222,91,middle,0.304945055,"The development of social emotions such as compassion is crucial for successful social interactions as well as for the maintenance of mental and physical health, especially when confronted with distressing life events. Yet, the neural mechanisms supporting the training of these emotions are poorly understood. To study affective plasticity in healthy adults, we measured functional neural and subjective responses to witnessing the distress of others in a newly developed task (Socio-affective Video Task). Participants' initial empathic responses to the task were accompanied by negative affect and activations in the anterior insula and anterior medial cingulate cortex-a core neural network underlying empathy for pain. Whereas participants reacted with negative affect before training, compassion training increased positive affective experiences, even in response to witnessing others in distress. On the neural level, we observed that, compared with a memory control group, compassion training elicited activity in a neural network including the medial orbitofrontal cortex, putamen, pallidum, and ventral tegmental area-brain regions previously associated with positive affect and affiliation. Taken together, these findings suggest that the deliberate cultivation of compassion offers a new coping strategy that fosters positive affect even when confronted with the distress of others.",CEREBRAL CORTEX
WOS:000375130500008,"Tusche, A; Bockler, A; Kanske, P; Trautwein, FM; Singer, T","Decoding the Charitable Brain: Empathy, Perspective Taking, and Attention Shifts Differentially Predict Altruistic Giving",2016,10.1523/JNEUROSCI.3392-15.2016,1,70,33,middle,0.424242424,"Altruistic behavior varies considerably across people and decision contexts. The relevant computational and motivational mechanisms that underlie its heterogeneity, however, are poorly understood. Using a charitable giving task together with multivariate decoding techniques, we identified three distinct psychological mechanisms underlying altruistic decision-making (empathy, perspective taking, and attentional reorienting) and linked them to dissociable neural computations. Neural responses in the anterior insula (AI) (but not temporoparietal junction [TPJ]) encoded trial-wise empathy for beneficiaries, whereas the TPJ (but not AI) predicted the degree of perspective taking. Importantly, the relative influence of both socio-cognitive processes differed across individuals: participants whose donation behavior was heavily influenced by affective empathy exhibited higher predictive accuracies for generosity in AI, whereas those who strongly relied on cognitive perspective taking showed improved predictions of generous donations in TPJ. Furthermore, subject-specific contributions of both processes for donations were reflected in participants' empathy and perspective taking responses in a separate fMRI task (EmpaToM), suggesting that process-specific inputs into altruistic choices may reflect participants' general propensity to either empathize or mentalize. Finally, using independent attention task data, we identified shared neural codes for attentional reorienting and generous donations in the posterior superior temporal sulcus, suggesting that domain-general attention shifts also contribute to generous behavior (but not in TPJ or AI). Overall, our findings demonstrate highly specific roles of AI for affective empathy and TPJ for cognitive perspective taking as precursors of prosocial behavior and suggest that these discrete routes of social cognition differentially drive intraindividual and interindividual differences in altruistic behavior.",JOURNAL OF NEUROSCIENCE
WOS:000295970300009,"Hollmann, M; Rieger, JW; Baecke, S; Lutzkendorf, R; Muller, C; Adolf, D; Bernarding, J",Predicting Decisions in Human Social Interactions Using Real-Time fMRI and Pattern Classification,2011,10.1371/journal.pone.0025304,1,26,7,middle,0.371428571,"Negotiation and trade typically require a mutual interaction while simultaneously resting in uncertainty which decision the partner ultimately will make at the end of the process. Assessing already during the negotiation in which direction one's counterpart tends would provide a tremendous advantage. Recently, neuroimaging techniques combined with multivariate pattern classification of the acquired data have made it possible to discriminate subjective states of mind on the basis of their neuronal activation signature. However, to enable an online-assessment of the participant's mind state both approaches need to be extended to a real-time technique. By combining real-time functional magnetic resonance imaging (fMRI) and online pattern classification techniques, we show that it is possible to predict human behavior during social interaction before the interacting partner communicates a specific decision. Average accuracy reached approximately 70% when we predicted online the decisions of volunteers playing the ultimatum game, a well-known paradigm in economic game theory. Our results demonstrate the successful online analysis of complex emotional and cognitive states using real-time fMRI, which will enable a major breakthrough for social fMRI by providing information about mental states of partners already during the mutual interaction. Interestingly, an additional whole brain classification across subjects confirmed the online results: anterior insula, ventral striatum, and lateral orbitofrontal cortex, known to act in emotional self-regulation and reward processing for adjustment of behavior, appeared to be strong determinants of later overt behavior in the ultimatum game. Using whole brain classification we were also able to discriminate between brain processes related to subjective emotional and motivational states and brain processes related to the evaluation of objective financial incentives.",PLOS ONE
WOS:000292717900004,"Sebastian, CL; Tan, GCY; Roiser, JP; Viding, E; Dumontheil, I; Blakemore, SJ",Developmental influences on the neural bases of responses to social rejection: Implications of social neuroscience for education,2011,10.1016/j.neuroimage.2010.09.063,1,115,35,middle,0.328571429,"Relational aggression such as social rejection is common within school peer groups. Converging evidence suggests that adolescent females are particularly sensitive to social rejection. We used a novel fMRI adaptation of the Cyberball social rejection paradigm to investigate the neural response to social rejection in 19 mid-adolescent (aged 14-16) and 16 adult female participants. Across all participants, social exclusion (relative to inclusion) elicited a response in bilateral medial prefrontal cortex (mPFC) extending into ventral and subgenual anterior cingulate cortex and medial orbitofrontal cortex; and the left ventrolateral PFC (vIPFC); regions that have been associated in previous studies with social evaluation, negative affective processing, and affect regulation respectively. However, the exclusion-related response in right vIPFC, a region associated in previous studies with the regulation of rejection-related distress, was attenuated in adolescents. Within mPFC, greater activation during exclusion vs. inclusion was associated with greater self-reported susceptibility to peer influence in adolescents but not in adults. This suggests that the brain's response to experimentally-induced social rejection relates to adolescent behaviour in real-world social interactions. We speculate about the potential implications of these findings for educational settings. In particular, functional development of affective circuitry during adolescence may influence social interaction within the school peer group. (c) 2010 Elsevier Inc. All rights reserved.",NEUROIMAGE
WOS:000416509800017,"Suzuki, S; Cross, L; O'Doherty, JP",Elucidating the underlying components of food valuation in the human orbitofrontal cortex,2017,10.1038/s41593-017-0008-x,1,35,23,middle,0.380434783,"The valuation of food is a fundamental component of our decision-making. Yet little is known about how value signals for food and other rewards are constructed by the brain. Using a food-based decision task in human participants, we found that subjective values can be predicted from beliefs about constituent nutritive attributes of food: protein, fat, carbohydrates and vitamin content. Multivariate analyses of functional MRI data demonstrated that, while food value is represented in patterns of neural activity in both medial and lateral parts of the orbitofrontal cortex (OFC), only the lateral OFC represents the elemental nutritive attributes. Effective connectivity analyses further indicate that information about the nutritive attributes represented in the lateral OFC is integrated within the medial OFC to compute an overall value. These findings provide a mechanistic account for the construction of food value from its constituent nutrients.",NATURE NEUROSCIENCE
WOS:000263232800003,"Northoff, G; Schneider, F; Rotte, M; Matthiae, C; Tempelmann, C; Wiebking, C; Bermpohl, F; Heinzel, A; Danos, P; Heinze, HJ; Bogerts, B; Walter, M; Panksepp, J",Differential Parametric Modulation of Self-Relatedness and Emotions in Different Brain Regions,2009,10.1002/hbm.20510,1,80,15,middle,0.444444444,"Our sense of self is strongly colored by emotions although at the same time we are well able to distinguish affect and self. Using functional magnetic resonance imaging, we here tested for the differential effects of self-relatedness and emotion dimensions (valence, intensity) on parametric modulation of neural activity during perception of emotional stimuli. We observed opposite parametric modulation of self-relatedness and emotion dimensions in the dorsomedial prefrontal cortex and the ventral striatum/nucleus accumbens, whereas neural activity in subcortical regions (tectum, right amygdala, hypothalamus) was modulated by self-relatedness and emotion dimensions in the same direction. In sum, our results demonstrate that self-relatedness is closely linked to emotion dimensions of valence and intensity in many lower subcortical brain regions involved in basic emotional systems and, at the same time, distinct from them in higher cortical regions that mediate cognitive processes necessary for becoming aware of one's self, for example self-consciousness. Hum Brain Mapp 30:369-382, 2009. (C) 2007 Wiley-Liss, Inc.",HUMAN BRAIN MAPPING
WOS:000326953700045,"Cross, KA; Torrisi, S; Losin, EAR; Iacoboni, M",Controlling automatic imitative tendencies: Interactions between mirror neuron and cognitive control systems,2013,10.1016/j.neuroimage.2013.06.060,1,57,17,middle,0.419117647,"Humans have an automatic tendency to imitate others. Although several regions commonly observed in social tasks have been shown to be involved in imitation control, there is little work exploring how these regions interact with one another. We used tMRI and dynamic causal modeling to identify imitation-specific control mechanisms and examine functional interactions between regions. Participants performed a pre-specified action (lifting their index or middle finger) in response to videos depicting the same two actions (biological cues) or dots moving with similar trajectories (non-biological cues). On congruent trials, the stimulus and response were similar (e.g. index finger response to index finger or left side dot stimulus), while on incongruent trials the stimulus and response were dissimilar (e.g. index finger response to middle finger or right side dot stimulus). Reaction times were slower on incongruent compared to congruent trials for both biological and non-biological stimuli, replicating previous findings that suggest the automatic imitative or spatially compatible (congruent) response must be controlled on incongruent trials. Neural correlates of the congruency effects were different depending on the cue type. The medial prefrontal cortex, anterior cingulate, inferior frontal gyrus pars opercularis (IFGpo) and the left anterior insula were involved specifically in controlling imitation. In addition, the IFGpo was also more active for biological compared to non-biological stimuli, suggesting that the region represents the frontal node of the human mirror neuron system (MNS). Effective connectivity analysis exploring the interactions between these regions, suggests a role for the mPFC and ACC in imitative conflict detection and the anterior insula in conflict resolution processes, which may occur through interactions with the frontal node of the MNS. We suggest an extension of the previous models of imitation control involving interactions between imitation-specific and general cognitive control mechanisms. (C) 2013 Elsevier Inc. All rights reserved.",NEUROIMAGE
WOS:000415969300004,"Haas, IJ; Baker, MN; Gonzalez, FJ",Who Can Deviate from the Party Line? Political Ideology Moderates Evaluation of Incongruent Policy Positions in Insula and Anterior Cingulate Cortex,2017,10.1007/s11211-017-0295-0,1,0,58,bottom,0,"Political polarization at the elite level is a major concern in many contemporary democracies, which is argued to alienate large swaths of the electorate and prevent meaningful social change from occurring, yet little is known about how individuals respond to political candidates who deviate from the party line and express policy positions incongruent with their party affiliations. This experiment examines the neural underpinnings of such evaluations using functional MRI (fMRI). During fMRI, participants completed an experimental task where they evaluated policy positions attributed to hypothetical political candidates. Each block of trials focused on one candidate (Democrat or Republican), but all participants saw two candidates from each party in a randomized order. On each trial, participants received information about whether the candidate supported or opposed a specific policy issue. These issue positions varied in terms of congruence between issue position and candidate party affiliation. We modeled neural activity as a function of incongruence and whether participants were viewing ingroup or outgroup party candidates. Results suggest that neural activity in brain regions previously implicated in both evaluative processing and work on ideological differences (insula and anterior cingulate cortex) differed as a function of the interaction between incongruence, candidate type (ingroup versus outgroup), and political ideology. More liberal participants showed greater activation to incongruent versus congruent trials in insula and ACC, primarily when viewing ingroup candidates. Implications for the study of democratic representation and linkages between citizens' calls for social change and policy implementation are discussed.",SOCIAL JUSTICE RESEARCH
WOS:000441538200026,"Duarte, IC; Brito-Costa, S; Cayolla, R; Castelo-Branco, M",The role of Prefrontal Cortex in a Battle of the Sexes Dilemma involving a Conflict between Tribal and Romantic love,2018,10.1038/s41598-018-30611-6,1,0,44,bottom,0,"The neural basis of dilemmas involving decisions with profound affective impact, such as in romantic life, remains to be understood. The ""Battle of the Sexes"" is a paradigm from Game Theory that can be used to experimentally address such dilemmas. A form of in-group love, tribal love in football fans, provides the opportunity to study strong affective dilemmas when tribal and romantic love compete for hedonic decision-making. Here, we used for the first time a ""Battle of the Sexes"" dilemma using fMRI. We investigated, in 44 male football fans, the neural correlates of cooperative behaviour under conflicting choices in the context of romantic versus tribal love. We identified a critical functional segregation of prefrontal regions in affective decision-making. The orbitofronta I cortex signalled emotional appraisal of the dilemma. The medial anterolateral and the ventromedial prefrontal cortices reflected reciprocal cooperation instead of selfish engagement in football-related activities. The lateral portion of anterolateral prefrontal cortex was recruited during ultimate deliberation. In sum, emotional appraisal and rational choice reflected a contiguous functional parcellation in anterolateral prefrontal cortex: appraisal (medial) vs. choice (lateral region).",SCIENTIFIC REPORTS
WOS:000446054000002,"Dien, J; Karuzis, V; Haarmann, HJ",Probing culture in the head: the neural correlates of relational models,2018,10.1080/17470919.2018.1459313,1,0,39,bottom,0,"Relational Models Theory or RMT proposes that there are four universal ways in which socio-economic relations can be organized. According to the RMT, each of its four relational models (Communal Sharing, Authority Ranking, Equality Matching, and Market Pricing) is associated with a distinct cognitive representation, with a cumulative pattern in which each relational model is a superset of the next lower model. This report for the first time uses a combination of cognitive and the social neuroscience to put this model to the test.RMT proposes that members of every culture use all four relational models, just in different proportions. It should therefore be possible to study their neural correlates in a mono-cultural sample. In this study, thirty-nine European-American students were imaged in a 3T Siemens Trio with a 24-channel head coil while rating the extent to which each relational model organized relationships with each of thirty-two acquaintances/friend/relatives in a boxcar design. FreeSurfer Functional Analysis Stream (FS-FAST) analyses revealed distinct patterns of activation for each of the relational models. The activations did not follow a cumulative hierarchical pattern, suggestive that this aspect of the RMT model should be revised.",SOCIAL NEUROSCIENCE
WOS:000445330400005,"Javor, A; Kindermann, H; Koschutnig, K; Ischebeck, A",The neural correlates of trustworthiness evaluations of faces and brands: Implications for behavioral and consumer neuroscience,2018,10.1111/ejn.14134,1,0,37,bottom,0,"When we buy a product of a brand, we trust the brand to provide good quality and reliability. Therefore, trust plays a major role in consumer behavior. It is unclear, however, how trust in brands is processed in the brain and whether it is processed differently from interpersonal trust. In this study, we used fMRI to investigate the neural correlates of interpersonal and brand trust by comparing the brain activation patterns during explicit trustworthiness judgments of faces and brands. Our results showed that while there were several brain areas known to be linked to trustworthiness evaluations, such as the amygdalae, more active in trustworthiness judgments when compared to a control task (familiarity judgment) for faces, no such difference was found for brands. Complementary ROI analysis revealed that the activation of both amygdalae was strongest for faces in the trustworthiness judgments. The direct comparison of the brain activation patterns during the trustworthiness evaluations between faces and brands in this analysis showed that trustworthiness judgments of faces activated the orbitofrontal cortex, another region that was previously linked to interpersonal trust, more strongly than trustworthiness judgments of brands. Further, trustworthiness ratings of faces, but not brands, correlated with activation in the orbitofrontal cortex. Our results indicate that the amygdalae, as well as the orbitofrontal cortex, play a prominent role in interpersonal trust (faces), but not in trust for brands. It is possible that this difference is due to brands being processed as cultural objects rather than as having human-like personality characteristics.",EUROPEAN JOURNAL OF NEUROSCIENCE
WOS:000401868900001,"Reyes-Aguilar, A; Fernandez-Ruiz, J; Pasaye, EH; Barrios, FA",Executive Mechanisms for Thinking about Negative Situations in Both Cooperative and Non-Cooperative Contexts,2017,10.3389/fnhum.2017.00275,1,0,34,bottom,0,"Mentalizing is a fundamental aspect of social cognition that includes understanding the mental states of others. This process involves the participation of a well-defined set of brain regions. However, it is still unknown how different contextual situations, such as previous cooperative or non-cooperative interactions, can modulate the brain activity related to the inference of others' mental states. Hence, this study investigated whether a previous social interaction can modulate the neural mechanisms involved in a way to response to inferred mental states of cooperators and non-cooperators in positive vs. negative emotional situations. Participants first engaged in a Dictator game with cooperator and non-cooperator confederates. Then, in an fMRI setup, participants had to infer the mental states of the cooperator and non-cooperator confederates under positive and negative situations. Results showed that in addition to the mentalizing network, inferring mental states recruited occipital and cerebellar areas in the cooperative context. A differential pattern of activity that depended on the emotional valence of the situation was also detected, i.e., negative situations recruited prefrontal cortex (PFC) in both contexts, while temporal regions were recruited only for the non-cooperative context. Overall, these results suggest that our previous experiences with others modulate the brain activity related to the inferences we make about their mental states in specific emotional situations.",FRONTIERS IN HUMAN NEUROSCIENCE
WOS:000449374000029,"Resibois, M; Rotge, JY; Delaveau, P; Kuppens, P; Van Mechelen, I; Fossati, P; Verduyn, P",The impact of self-distancing on emotion explosiveness and accumulation: An fMRI study,2018,10.1371/journal.pone.0206889,1,0,32,bottom,0,"Emotions unfold over time with episodes differing in explosiveness (i.e., profiles having a steep vs. a gentle start) and accumulation (i.e., profiles increasing over time vs. going back to baseline). In the present fMRI study, we wanted to replicate and extend previous findings on the psychological and neural mechanisms underlying emotion explosiveness and accumulation. Specifically, we aimed to: (a) replicate the finding that different neural mechanisms are associated with emotion explosiveness and accumulation, (b) replicate the finding that adopting a self-distanced (vs. self-immersed) perspective decreases emotion explosiveness and accumulation at the level of self-report, and (c) examine whether adopting a self-distanced (vs. self-immersed) perspective similarly modulates activity in the brain regions associated with emotion explosiveness and accumulation. Participants in an fMRI scanner were asked to adopt a self-immersed or self-distanced perspective while reading and thinking about negative social feedback, and to report on felt changes in negative affect during that period using an emotion intensity profile tracking approach. We replicated previous findings showing that emotion explosiveness and accumulation were related to activity in regions involved in self-referential processing (such as the medial prefrontal cortex) and sustained visceral arousal (such as the posterior insula), respectively. The finding that adopting a self-distanced (vs. self-immersed) perspective lowers emotion explosiveness and accumulation was also replicated at a self-report level. However, perspective taking did not impact activity in the neural correlates of emotion explosiveness and accumulation.",PLOS ONE
WOS:000370371700001,"Tanaka, SC; Yamada, K; Kitada, R; Tanaka, S; Sugawara, SK; Ohtake, F; Sadato, N","Overstatement in happiness reporting with ordinal, bounded scale",2016,10.1038/srep21321,1,0,30,bottom,0,"There are various methods by which people can express subjective evaluations quantitatively. For example, happiness can be measured on a scale from 1 to 10, and has been suggested as a measure of economic policy. However, there is resistance to these types of measurement from economists, who often regard welfare to be a cardinal, unbounded quantity. It is unclear whether there are differences between subjective evaluation reported on ordinal, bounded scales and on cardinal, unbounded scales. To answer this question, we developed functional magnetic resonance imaging experimental tasks for reporting happiness from monetary gain and the perception of visual stimulus. Subjects tended to report higher values when they used ordinal scales instead of cardinal scales. There were differences in neural activation between ordinal and cardinal reporting scales. The posterior parietal area showed greater activation when subjects used an ordinal scale instead of a cardinal scale. Importantly, the striatum exhibited greater activation when asked to report happiness on an ordinal scale than when asked to report on a cardinal scale. The finding that ordinal (bounded) scales are associated with higher reported happiness and greater activation in the reward system shows that overstatement bias in happiness data must be considered.",SCIENTIFIC REPORTS
WOS:000414073100003,"Carey, D; Miquel, ME; Evans, BG; Adank, P; McGettigan, C",Functional brain outcomes of L2 speech learning emerge during sensorimotor transformation,2017,10.1016/j.neuroimage.2017.06.053,1,0,28,bottom,0,"Sensorimotor transformation (ST) may be a critical process in mapping perceived speech input onto non-native (L2) phonemes, in support of subsequent speech production. Yet, little is known concerning the role of ST with respect to L2 speech, particularly where learned L2 phones (e.g., vowels) must be produced in more complex lexical contexts (e.g., multi-syllabic words). Here, we charted the behavioral and neural outcomes of producing trained L2 vowels at word level, using a speech imitation paradigm and functional MRI. We asked whether participants would be able to faithfully imitate trained L2 vowels when they occurred in non-words of varying complexity (one or three syllables). Moreover, we related individual differences in imitation success during training to BOLD activation during ST (i.e., pre-imitation listening), and during later imitation. We predicted that superior temporal and peri-Sylvian speech regions would show increased activation as a function of item complexity and non-nativeness of vowels, during ST. We further anticipated that pre-scan acoustic learning performance would predict BOLD activation for non-native (vs. native) speech during ST and imitation. We found individual differences in imitation success for training on the non-native vowel tokens in isolation; these were preserved in a subsequent task, during imitation of mono-and trisyllabic words containing those vowels. fMRI data revealed a widespread network involved in ST, modulated by both vowel nativeness and utterance complexity: superior temporal activation increased monotonically with complexity, showing greater activation for non-native than native vowels when presented in isolation and in trisyllables, but not in monosyllables. Individual differences analyses showed that learning versus lack of improvement on the non-native vowel during pre-scan training predicted increased ST activation for non-native compared with native items, at insular cortex, pre-SMA/SMA, and cerebellum. Our results hold implications for the importance of ST as a process underlying successful imitation of non-native speech.",NEUROIMAGE
WOS:000369415600001,"Suzuki, A; Ito, Y; Kiyama, S; Kunimi, M; Ohira, H; Kawaguchi, J; Tanabe, HC; Nakai, T",Involvement of the Ventrolateral Prefrontal Cortex in Learning Others' Bad Reputations and Indelible Distrust,2016,10.3389/fnhum.2016.00028,1,0,28,bottom,0,"A bad reputation can persistently affect judgments of an individual even when it turns out to be invalid and ought to be disregarded. Such indelible distrust may reflect that the negative evaluation elicited by a bad reputation transfers to a person. Consequently, the person him/herself may come to activate this negative evaluation irrespective of the accuracy of the reputation. If this theoretical model is correct, an evaluation-related brain region will be activated when witnessing a person whose bad reputation one has learned about, regardless of whether the reputation is deemed valid or not. Here, we tested this neural hypothesis with functional magnetic resonance imaging (fMRI). Participants memorized faces paired with either a good or a bad reputation. Next, they viewed the faces alone and inferred whether each person was likely to cooperate, first while retrieving the reputations, and then while trying to disregard them as false. A region of the left ventrolateral prefrontal cortex (vIPFC), which may be involved in negative evaluation, was activated by faces previously paired with bad reputations, irrespective of whether participants attempted to retrieve or disregard these reputations. Furthermore, participants showing greater activity of the left ventrolateral prefrontal region in response to the faces with bad reputations were more likely to infer that these individuals would not cooperate. Thus, once associated with a bad reputation, a person may elicit evaluation related brain responses on their own, thereby evoking distrust independently of their reputation.",FRONTIERS IN HUMAN NEUROSCIENCE
WOS:000384074500029,"Gilead, M; Liberman, N; Maril, A","The effects of an action's \age-of-acquisition\"" on action-sentence processing""",2016,10.1016/j.neuroimage.2016.07.034,1,0,27,bottom,0,"How does our brain allow us comprehend abstract/symbolic descriptions of human action? Whereas past research suggested that processing action language relies on sensorimotor brain regions, recent work suggests that sensorimotor activation depends on participants' task goals, such that focusing on abstract (vs. concrete) aspects of an action activates ""default mode network"" (rather than sensorimotor) regions. Following a Piagetian framework, we hypothesized that for actions acquired at an age wherein abstract/symbolic cognition is fully-developed, even when participants focus on the concrete aspects of an action, they should retrieve abstract-symbolic mental representations. In two studies, participants processed the concrete (i.e., ""how"") and abstract (i.e., ""why"") aspects of late-acquired and early-acquired actions. Consistent with previous research, focusing on the abstract (vs. concrete) aspects of an action resulted in greater activation in the ""defaultmode network"". Importantly, the activation in these regions was higher when processing later-acquired (vs. earlier acquired) actions-also when participants' goal was to focus on the concrete aspects of the action. We discuss the implications of the current findings to research on the involvement of concrete representations in abstract cognition. (C) 2016 Elsevier Inc. All rights reserved.",NEUROIMAGE
WOS:000404656000005,"Lee, TW; Xue, SW",Examination of the validity of the atlas-informed approach to functional parcellation: a resting functional MRI study,2017,10.1097/WNR.0000000000000808,1,0,26,bottom,0,"With the advancement in MRI, functional parcellation (FP) of brain structure(s) has become an important topic. However, the large number of voxels is a major obstacle. A-priori partitioning of the brain into several regions of interest (ROIs) is the main data-reduction strategy to simplify brain informatics. This study aims to examine the validity of ROI-based approach to FP by exploring the concordance of the relative distance structures between voxel-wise (raw data) and atlas-informed analyses. Structural and resting state functional MRI (rfMRI) scans of 26 right-handed healthy individuals were selected from the Rockland dataset. Four target regions were included in the analyses, that is, left and right thalamus and amygdala. For each voxel in the target region, four classes of correlation maps (sampling strategies) were constructed from the rfMRI: whole brain, cortex, 150 ROIs, and 70 ROIs (ROIs are informed by anatomical atlases). The relative distance metric between two different voxels was defined as the mean absolute difference of their associated correlation maps. Considering all the possible pairs of voxels in a target region, the relative distance structure was derived and stored in a matrix distance map). For every target region, the distance maps were very similar across the four classes of sampling strategies, with the grand mean correlation coefficient reaching 0.95. The results confirm the validity of previous ROI-based analyses of rfMRI data in FP. The rationale and limitation are discussed and an analytic strategy of whole-brain FP is proposed. Copyright (C) 2017 Wolters Kluwer Health, Inc. All rights reserved.",NEUROREPORT
WOS:000381447400001,"Van der Cruyssen, L; Ozdem, C; Haesevoets, T; Vandekerckhove, M; Van Overwalle, F",Athlete or athletic? Limited differential brain activation in person descriptions using nouns or adjectives,2016,10.1016/j.bandl.2016.04.012,1,0,25,bottom,0,"Do differences between the syntactic categories of nouns and adjectives for describing persons translate into different patterns of brain activation? In this fMRI study, we compared reading person and object descriptions denoted by nouns or adjectives. Previous behavioral studies found that nouns, describing the more abstract construct of social categories, compared to adjectives, describing the more concrete construct of personality traits, have an impact on the inferences made about a person. Additionally, previous neuroimaging findings suggest that abstract constructs recruit a different pattern of brain activation, compared to more concrete constructs. Participants read sentences describing a protagonist by means of a noun or an adjective, as well as sentences describing objects through a noun or an adjective. The results revealed that reading nouns as opposed to adjectives showed increased activation in the left lingual gyrus for persons, and additionally in the right lingual gyrus for objects. The results indicate that there are limited differences in the processing of nouns and adjectives when describing persons. (C) 2016 Elsevier Inc. All rights reserved.",BRAIN AND LANGUAGE
WOS:000356901900019,"Appelgren, A; Bengtsson, SL",Feedback on Trait or Action Impacts on Caudate and Paracingulum Activity,2015,10.1371/journal.pone.0129714,1,0,20,bottom,0,"There is a general conception that positive associations to one's trait, e.g. 'I'm clever', are beneficial for cognitive performance. Scientific evidence shows that this is a simplification. In this functional magnetic resonance imaging (fMRI) study we used written trial-based trait feedback 'you are clever', or task feedback 'your choice was correct', on each correct response of a rule-switching task, to investigate how the character of positive self-associations influences performance outcome. Twenty participants took part in this crossover design study. We found that trait feedback was less beneficial for motivation and performance improvement, and resulting in enhanced neural activation on more difficult bivalent rule trials. This indicates that the task was treated as more complex in this condition. For example, 'you are clever' feedback led to enhanced activation in anterior caudate nucleus, an area known to process uncertainty. We further observed that activation in anterior paracingulate cortex was sensitive to whether self-reflection was imposed by external feedback or generated from internal processes, where the latter activation correlated positively with performance when following after task feedback. Our results illustrate how feedback can evoke self-reflections that either help or hinder motivation and performance, most likely by impacting on processes of uncertainty. The results support social psychological models stipulating that trait focus take resources away from task focus.",PLOS ONE
